Task,Paradigm,FeatureFilter,Model,TimeTaken,Length,ba,recall,auc,best_params,feature_imp
1,3,2,1,15317.87,1473.0,0.708,0.667,"[0.736, 0.553, 0.888]","{'best_params': {'C': 0.01, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}}","{'HPosY': 1.8777154070992184, 'LRotZ': 1.5129173261727402, 'RPosY': 1.3421666703320114, 'RRotY': 1.3128805577368765, 'HRotZ': 1.2379509623204341, 'HRotY': 1.148551499454184}"
1,3,2,2,15115.47,1473.0,0.7,0.6,"[0.785, 0.609, 0.931]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}}","{'HPosY': 0.27170544441960237, 'LRotZ': 0.06025137112571815, 'HRotZ': 0.05858549733948696, 'RRotY': 0.057958414901629444, 'HRotY': 0.053835142344836356, 'HPosX': 0.04533522795250021}"
1,1,2,4,2168.68,,0.75,0.9,"[0.788, 0.652, 0.911]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 256], 'dropout_fc': 0.2, 'finetune_epochs': 15, 'kernel_sizes': [5, 5, 5], 'learning_rate': 0.0002, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'RRotY': 0.055739336, 'LPosZ': 0.055624325, 'HRotZ': 0.054514926, 'HPosY': 0.054481328, 'RRotZ': 0.05444914, 'RRotX': 0.05410877}"
1,1,2,5,26165.61,,0.788,0.875,"[0.803, 0.687, 0.909]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 2, 'pooling': 'mean', 'rnn_type': 'lstm'}}","{'RPosX': 0.058758784, 'HPosY': 0.057707235, 'HPosX': 0.05748329, 'RRotY': 0.056071885, 'RRotZ': 0.055948943, 'HRotX': 0.055936348}"
1,2,2,4,1275.52,,0.745,0.84,"[0.809, 0.679, 0.913]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 128], 'dropout_fc': 0.4, 'finetune_epochs': 15, 'kernel_sizes': [7, 5, 3], 'learning_rate': 0.0002, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'RRotX': 0.045874093, 'LPosX': 0.04557389, 'HRotZ': 0.04524186, 'HPosZ': 0.04516063, 'LRotZ': 0.044866122, 'LRotY': 0.044835623}"
1,2,2,5,14479.76,,0.79,0.88,"[0.84, 0.698, 0.955]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 2, 'pooling': 'max', 'rnn_type': 'lstm'}}","{'RPosX': 0.057423517, 'RRotY': 0.05737128, 'LPosY': 0.05707555, 'LPosX': 0.056967366, 'LRotY': 0.056599826, 'HPosX': 0.05636747}"
1,3,2,4,815.34,,0.733,0.667,"[0.735, 0.549, 0.895]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 128], 'dropout_fc': 0.4, 'finetune_epochs': 15, 'kernel_sizes': [5, 5, 5], 'learning_rate': 0.0002, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'LPosY': 0.05530752, 'HRotY': 0.05432566, 'HRotX': 0.054252334, 'HPosZ': 0.054238427, 'LRotY': 0.05402588, 'HPosY': 0.053948373}"
1,3,2,5,9828.2,,0.683,0.667,"[0.698, 0.51, 0.872]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 2, 'pooling': 'mean', 'rnn_type': 'gru'}}","{'RPosY': 0.05774092, 'HPosY': 0.05728356, 'HRotX': 0.057270188, 'LRotZ': 0.0572216, 'RRotX': 0.057097286, 'HPosZ': 0.056833394}"
1,4,2,4,1387.65,,0.587,0.84,"[0.487, 0.275, 0.696]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 256], 'dropout_fc': 0.4, 'finetune_epochs': 15, 'kernel_sizes': [7, 5, 3], 'learning_rate': 0.0002, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'LPosX': 0.04712504, 'RPosX': 0.04644957, 'LPosZ': 0.04576953, 'HPosX': 0.045747034, 'HPosY': 0.04518617, 'RPosY': 0.0451442}"
1,4,2,5,20667.82,,0.6,0.8,"[0.508, 0.297, 0.715]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 2, 'pooling': 'max', 'rnn_type': 'lstm'}}","{'LRotY': 0.058541134, 'RRotZ': 0.058133774, 'HPosX': 0.057445087, 'HRotY': 0.057384018, 'LPosZ': 0.057151213, 'RPosZ': 0.056837104}"
1,3,2,3,9774.09,,0.833,0.667,"[np.float64(0.848), np.float64(0.713), np.float64(0.961)]","{'best_params': {'covariance_type': 'diag', 'n_components': 4, 'n_iter': 50}}","{'HPosY': np.float64(0.21666666666666656), 'HRotX': np.float64(0.16666666666666652), 'RPosY': np.float64(0.15833333333333321), 'HPosX': np.float64(0.15833333333333321), 'LRotX': np.float64(0.1499999999999999), 'LPosX': np.float64(0.1333333333333333)}"
1,4,2,1,21412.92,1839.0,0.66,0.72,"[np.float64(0.677), np.float64(0.479), np.float64(0.861)]","{'best_params': {'C': 0.1, 'class_weight': 'balanced', 'l1_ratio': 0.75, 'max_iter': 500, 'penalty': 'elasticnet', 'solver': 'saga'}}","{'LRotX': 0.2834691024181666, 'HPosY': 0.21534046206534185, 'RRotX': 0.052168953538057394, 'HRotX': 0.028735047057580232, 'RRotY': 0.01044159430603031, 'RPosX': 0.0020236815422549626}"
1,1,2,3,28745.1,,0.775,0.85,"[np.float64(0.799), np.float64(0.684), np.float64(0.911)]","{'best_params': {'covariance_type': 'diag', 'n_components': 5, 'n_iter': 50}}","{'LPosY': np.float64(0.17499999999999993), 'HPosZ': np.float64(0.16249999999999987), 'HPosY': np.float64(0.16249999999999987), 'RPosY': np.float64(0.12499999999999989), 'LPosX': np.float64(0.09999999999999987), 'RRotZ': np.float64(0.09999999999999987)}"
1,2,2,1,19279.18,1473.0,0.655,0.56,"[np.float64(0.769), np.float64(0.609), np.float64(0.903)]","{'best_params': {'C': 10, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l1', 'solver': 'saga'}}","{'HPosY': 1.7693578865326955, 'HPosX': 1.560537911467776, 'RRotY': 1.3656739824043882, 'HRotZ': 1.2650743217293439, 'LRotZ': 1.2105228114805975, 'LPosZ': 1.202057660971846}"
1,1,2,1,4375.89,1473.0,0.738,0.825,"[np.float64(0.761), np.float64(0.615), np.float64(0.889)]","{'best_params': {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}}","{'HPosY': 0.44836835430174915, 'LRotZ': 0.27539182601060475, 'RRotZ': 0.03587584267370403, 'HRotZ': 0.010238571863737889, 'LPosZ': 0.008471556560976978, 'RRotY': 0.00587768349214457}"
1,1,2,2,10344.49,1473.0,0.762,0.975,"[np.float64(0.797), np.float64(0.653), np.float64(0.915)]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}}","{'HPosY': 0.20207760976185032, 'LPosY': 0.07960509638658786, 'LPosX': 0.07155080338103507, 'LRotZ': 0.06968080444730643, 'RPosY': 0.06759398187468767, 'HRotZ': 0.05728083500585201}"
1,2,2,2,5268.23,1473.0,0.69,0.88,"[np.float64(0.78), np.float64(0.625), np.float64(0.91)]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}}","{'HPosY': 0.12393971112890938, 'LPosY': 0.11759138916171057, 'LPosX': 0.08052159942836687, 'RPosY': 0.06923508042759925, 'LRotZ': 0.06514713217779938, 'LRotX': 0.06457824172680007}"
1,2,2,3,5175.45,,0.79,0.88,"[np.float64(0.788), np.float64(0.649), np.float64(0.905)]","{'best_params': {'covariance_type': 'diag', 'n_components': 4, 'n_iter': 50}}","{'LPosY': np.float64(0.21999999999999997), 'LPosX': np.float64(0.14500000000000002), 'RRotY': np.float64(0.14), 'HRotX': np.float64(0.135), 'LRotZ': np.float64(0.125), 'LRotY': np.float64(0.09499999999999997)}"
1,4,2,2,6999.7,1839.0,0.553,0.84,"[np.float64(0.568), np.float64(0.378), np.float64(0.75)]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}}","{'HPosY': 0.17818591355936964, 'LRotZ': 0.15502945841344487, 'RRotX': 0.10969657999591118, 'RRotY': 0.07877452791110183, 'RPosX': 0.07394341489160973, 'LRotX': 0.06254060666404135}"
